Força;Posição
0,42;0,01
1,62;0,06
5,74;0,06
5,74;0,12
8,53;0,16
11,68;0,21
13,63;0,25
16,02;0,25
16,02;0,30
17,64;0,34
19,29;0,39
21,13;0,44
22,86;0,44
22,86;0,48
24,52;0,53
25,82;0,57
27,12;0,62
28,66;0,66
29,86;0,66
29,86;0,71
31,14;0,75
32,20;0,80
33,34;0,84
34,35;0,84
34,35;0,89
35,31;0,93
36,47;0,98
37,34;1,02
38,40;1,02
38,40;1,07
39,26;1,11
40,11;1,16
40,98;1,20
41,70;1,25
42,60;1,25
42,60;1,29
43,30;1,34
44,15;1,38
44,83;1,43
45,39;1,43
45,39;1,47
46,14;1,52
46,72;1,56
47,40;1,61
47,97;1,61
48,71;1,65
48,71;1,70
49,30;1,74
49,96;1,79
50,60;1,84
51,13;1,84
51,13;1,88
51,76;1,93
52,25;1,97
52,73;2,02
53,44;2,02
53,44;2,06
53,94;2,11
54,58;2,15
55,06;2,20
55,61;2,20
56,17;2,24
56,17;2,29
56,63;2,34
57,27;2,38
57,69;2,43
58,27;2,43
58,27;2,47
58,69;2,52
59,17;2,56
59,63;2,61
60,05;2,61
60,05;2,65
60,61;2,70
61,00;2,74
61,57;2,79
62,03;2,83
62,46;2,83
62,46;2,88
62,88;2,92
63,27;2,97
63,79;3,01
64,13;3,01
64,13;3,06
64,49;3,10
64,97;3,15
65,36;3,20
65,74;3,20
65,74;3,24
66,17;3,29
66,53;3,33
66,99;3,38
67,33;3,38
67,76;3,42
67,76;3,47
68,13;3,51
68,44;3,56
68,79;3,56
69,12;3,61
69,12;3,65
69,61;3,70
69,94;3,74
70,31;3,79
70,65;3,79
70,65;3,83
70,91;3,88
71,26;3,93
71,54;3,97
71,92;3,97
71,92;4,02
72,25;4,06
72,62;4,11
72,99;4,15
73,25;4,15
73,25;4,20
73,58;4,24
73,86;4,29
74,20;4,33
74,49;4,33
74,75;4,38
74,75;4,42
75,18;4,47
75,42;4,51
75,74;4,56
76,00;4,56
76,00;4,60
76,33;4,65
76,68;4,70
76,90;4,74
77,28;4,74
77,28;4,79
77,52;4,83
77,83;4,88
78,05;4,92
78,33;4,92
78,59;4,97
78,59;5,01
78,83;5,06
79,20;5,10
79,43;5,15
79,77;5,15
79,77;5,19
80,03;5,24
80,29;5,28
80,56;5,33
80,78;5,33
80,78;5,38
81,14;5,42
81,35;5,47
81,60;5,51
81,91;5,51
82,16;5,56
82,16;5,60
82,43;5,65
82,66;5,69
83,03;5,74
83,22;5,74
83,22;5,78
83,48;5,83
83,75;5,87
84,00;5,92
84,22;5,92
84,22;5,97
84,46;6,01
84,68;6,06
85,06;6,10
85,30;6,10
85,30;6,15
85,54;6,19
85,80;6,24
86,03;6,28
86,27;6,28
86,49;6,33
86,49;6,38
86,77;6,42
87,00;6,47
87,28;6,51
87,54;6,51
87,54;6,56
87,72;6,60
88,00;6,65
88,22;6,69
88,51;6,69
88,74;6,74
88,74;6,78
89,01;6,83
89,25;6,87
89,45;6,87
89,70;6,92
89,70;6,96
89,89;7,01
90,21;7,06
90,44;7,10
90,62;7,10
90,62;7,15
90,92;7,19
91,11;7,24
91,35;7,28
91,54;7,28
91,54;7,33
91,79;7,37
91,99;7,42
92,27;7,47
92,55;7,47
92,73;7,51
92,73;7,56
92,97;7,60
93,17;7,65
93,37;7,69
93,63;7,69
93,63;7,74
93,83;7,78
94,15;7,83
94,32;7,87
94,58;7,87
94,77;7,92
94,77;7,96
95,00;8,01
95,28;8,05
95,46;8,10
95,78;8,10
95,78;8,14
95,93;8,19
96,15;8,23
96,35;8,28
96,57;8,28
96,76;8,33
96,76;8,37
96,97;8,42
97,25;8,46
97,43;8,51
97,64;8,51
97,64;8,55
97,88;8,60
98,10;8,64
98,32;8,69
98,51;8,69
98,71;8,73
98,71;8,78
98,97;8,82
99,18;8,87
99,40;8,91
99,62;8,91
99,62;8,96
99,80;9,00
99,99;9,05
100,17;9,09
100,40;9,09
100,59;9,14
100,59;9,18
100,85;9,23
101,11;9,27
101,27;9,32
101,46;9,32
101,46;9,36
101,66;9,41
101,89;9,45
102,08;9,50
102,33;9,55
102,55;9,55
